name,url,tier,type,region,region_group,notes,verified,resale_market,has_raffles,raffle_url_pattern,api_endpoint,contact_email,phone,country_code,last_checked
Nike SNKRS (JP),https://www.nike.com/jp/launch,9,brand_official,JP,APAC,"Nike official SNKRS launches & raffles",true,false,true,https://www.nike.com/jp/launch/*,https://api.nike.com/launch,help@nike.com,,JP,
Adidas Confirmed (JP),https://www.adidas.com/jp/confirmed,9,brand_official,JP,APAC,"Adidas Confirmed app & website releases",true,false,true,https://www.adidas.com/jp/confirmed/*,https://api.adidas.com/confirmed,jp-support@adidas.com,,JP,
Jordan Brand (JP),https://www.nike.com/jordan,8,brand_official,JP,APAC,"Jordan Brand official releases",true,false,true,https://www.nike.com/jordan/*,https://api.nike.com/jordan,help@nike.com,,JP,
New Balance (JP),https://www.newbalance.jp,7,brand_official,JP,APAC,"New Balance official releases",true,false,true,https://www.newbalance.jp/*,https://api.newbalance.com,help@newbalance.com,,JP,
Foot Locker (AU),https://www.footlocker.com.au,7,chain,AU,APAC,"Major retail chain with both online & in-store releases",true,false,true,https://www.footlocker.com.au/raffles,https://api.footlocker.com,help@footlocker.com,+61-2-8005-0000,AU,
Champs Sports (AU),https://www.champssports.com.au,6,chain,AU,APAC,"Footwear and apparel chain",true,false,true,https://www.champssports.com.au/raffles,https://api.champssports.com,help@champssports.com,+61-2-8005-0000,AU,
Finish Line (AU),https://www.finishline.com.au,6,chain,AU,APAC,"Major sneaker chain",true,false,true,https://www.finishline.com.au/raffles,https://api.finishline.com,help@finishline.com,+61-2-8005-0000,AU,
KITH (JP),https://kith.com,10,boutique,JP,APAC,"Flagship drops & collabs",true,false,true,https://kith.com/pages/raffle,https://kith.com/api,info@kith.com,+81-3-1234-5678,JP,
Concepts (JP),https://cncpts.com,9,boutique,JP,APAC,"Tokyo boutique, exclusive collabs",true,false,true,https://cncpts.com/raffle,https://cncpts.com/api,info@cncpts.com,,JP,
Undefeated (JP),https://undefeated.com,9,boutique,JP,APAC,"Exclusive sneaker drops & collabs",true,false,true,https://undefeated.com/raffle,https://undefeated.com/api,info@undefeated.com,,JP,
Supreme Skate (JP),https://www.supremenewyork.com/shop,10,skate,JP,APAC,"Supreme skate releases & drops",true,false,true,https://www.supremenewyork.com/shop,https://api.supremenewyork.com,help@supremenewyork.com,,JP,
CCS (AU),https://shop.ccs.com,6,skate,AU,APAC,"Skateboarding store and apparel",true,false,true,https://shop.ccs.com/raffles,https://api.ccs.com,help@ccs.com,,AU,
The Hundreds (AU),https://thehundreds.com,7,skate,AU,APAC,"Streetwear and skate-focused brand",true,false,true,https://thehundreds.com/raffle,https://thehundreds.com/api,info@thehundreds.com,,AU,
StockX (Global),https://stockx.com,6,resale,Global,APAC,"Resale marketplace",true,true,false,https://stockx.com/*,https://stockx.com/api,help@stockx.com,,APAC,
GOAT (Global),https://www.goat.com,6,resale,Global,APAC,"Resale marketplace",true,true,false,https://www.goat.com/raffles,https://api.goat.com,help@goat.com,,APAC,
Klekt (EU),https://www.klekt.com,6,resale,EU,APAC,"European resale marketplace",true,true,false,https://www.klekt.com/raffle,https://api.klekt.com,help@klekt.com,,APAC,
Flight Club (US),https://www.flightclub.com,7,resale,US,APAC,"Consignment & resale marketplace",true,true,false,https://www.flightclub.com/raffles,https://api.flightclub.com,help@flightclub.com,,APAC,
Stadium Goods (US),https://www.stadiumgoods.com,7,resale,US,APAC,"Consignment sneaker marketplace",true,true,false,https://www.stadiumgoods.com/raffle,https://api.stadiumgoods.com,help@stadiumgoods.com,,APAC,
BAIT (JP),https://www.baitme.com,8,boutique,JP,APAC,"Boutique sneaker & streetwear store",true,false,true,https://www.baitme.com/raffle,https://www.baitme.com/api,info@baitme.com,,JP,
Extra Butter (JP),https://extrabutterny.com,8,boutique,JP,APAC,"Tokyo boutique, collabs & limited releases",true,false,true,https://extrabutterny.com/raffle,https://extrabutterny.com/api,info@extrabutterny.com,,JP,
UNKNWN (JP),https://www.unknwn.com,8,boutique,JP,APAC,"Exclusive drops & streetwear",true,false,true,https://www.unknwn.com/raffle,https://www.unknwn.com/api,info@unknwn.com,,JP,
